Seeded Runs:
Run 1/10
   	      	                       fitness                       	                          size                         
   	      	-----------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max  	med    	min    	nevals	std  	avg    	gen	max 	med  	min	nevals	std    
49 	680   	1976.91	49 	30053.3	1396.79	1387.91	680   	2362.08	1642.71	49 	2040	1655.5	1039	680   	140.319
50 	679   	1795.66	50 	15540.4	1395.03	1387.78	679   	1604.06	1652.98	50 	2160	1666  	343 	679   	159.362
51 	681   	1887.62	51 	23142.7	1394.99	1387.76	681   	2147.55	1674.62	51 	2067	1694  	883 	681   	151.519
52 	680   	1806.82	52 	15540.1	1394.42	1387.72	680   	1699.26	1687.87	52 	2190	1704.5	1057	680   	149.573
53 	680   	1832.05	53 	36366.8	1393.95	1387.29	680   	2094.28	1697.61	53 	2255	1721  	923 	680   	150.015
54 	675   	1849.75	54 	49540.8	1393.29	1387.01	675   	2470.85	1696.87	54 	2160	1723.5	105 	675   	164.537
55 	681   	1852.48	55 	17691.1	1392.68	1368.86	681   	1895.26	1697.26	55 	2389	1729  	1102	681   	158.084
56 	683   	2040.62	56 	27963.2	1392.43	1368.86	683   	2581.34	1702.39	56 	2181	1742.5	494 	683   	173.818
57 	671   	1874.51	57 	53467.7	1390.86	1368.86	671   	2693.93	1712.68	57 	2103	1754  	124 	671   	177.31 
58 	665   	1715.98	58 	36363.6	1389.58	1368.24	665   	1933.64	1741.33	58 	2144	1770  	1054	665   	157.545
59 	684   	1988.07	59 	52111.5	1388.24	1368.24	684   	3225.15	1749.74	59 	2130	1777  	259 	684   	170.265
60 	679   	1744.69	60 	20747.7	1387.94	1368.24	679   	1557.79	1762.93	60 	2156	1782  	1037	679   	160.921
61 	670   	1883.34	61 	70477.2	1387.76	1362.69	670   	3296.95	1759.26	61 	2234	1777  	149 	670   	167.833
62 	666   	1616.23	62 	15841  	1386.98	1359.21	666   	1286.86	1765.3 	62 	2254	1777  	732 	666   	168.147
63 	677   	1761.72	63 	20880.1	1382.28	1358.31	677   	1832.55	1751.6 	63 	2273	1767.5	916 	677   	171.177
64 	680   	1781.79	64 	23571.6	1369.78	1358.29	680   	1994.83	1760.9 	64 	2272	1764  	1085	680   	147.056
65 	688   	1721.18	65 	36371.7	1368.86	1357.7 	688   	2038.32	1748.83	65 	2266	1762.5	1055	688   	149.668
66 	681   	1740.58	66 	26615.7	1368.81	1357.7 	681   	1922.82	1742.67	66 	2102	1760  	529 	681   	141.261
67 	676   	1679.42	67 	22564.3	1368.24	1356.72	676   	1579.25	1752.75	67 	2145	1760.5	729 	676   	134.276
68 	676   	1831.67	68 	22062.7	1367.65	1356.32	676   	2035.27	1743.14	68 	2145	1756.5	776 	676   	143.851
69 	678   	1738.57	69 	20309.8	1365.81	1352.43	678   	1701.82	1746.42	69 	2148	1758  	1018	678   	141.306
70 	682   	1584.89	70 	15703.1	1361   	1347.87	682   	1072.7 	1758.46	70 	2135	1766  	1323	682   	132.992
71 	677   	1670.04	71 	43562.6	1359.21	1347.77	677   	2065.34	1757.67	71 	2184	1765.5	961 	677   	148.776
72 	684   	1876.79	72 	46391.3	1358.21	1347.77	684   	2980.73	1757.77	72 	2234	1770.5	251 	684   	169.978
73 	684   	1717.58	73 	25172.7	1357.75	1347.75	684   	1862.22	1752.75	73 	2178	1767  	18  	684   	171.456
74 	680   	1765.01	74 	23004.8	1357.49	1346.82	680   	1884.73	1742.9 	74 	2255	1743  	748 	680   	172.802
75 	666   	1748.28	75 	24236.6	1356.94	1346.14	666   	1853.13	1735.1 	75 	2309	1724  	1172	666   	160.514
76 	672   	1737.55	76 	26802  	1356.51	1345.96	672   	2003.25	1713.87	76 	2252	1708.5	910 	672   	166.329
77 	677   	6260.39	77 	3.1757e+06	1355.47	1345.35	677   	119892 	1703.6 	77 	2431	1699  	902 	677   	156.289
78 	665   	1861.17	78 	32261.1   	1353.44	1343.4 	665   	2356.86	1686.54	78 	2433	1684  	23  	665   	168.656
79 	676   	1900.59	79 	53210.6   	1352.28	1343.35	676   	2847.37	1671.37	79 	2475	1661.5	40  	676   	189.316
80 	666   	1754.37	80 	25953.3   	1351.02	1343.35	666   	2043.26	1652.54	80 	2410	1646  	495 	666   	169.685
81 	683   	1840.8 	81 	30787.4   	1349.55	1342.26	683   	2231.76	1641.1 	81 	2411	1642  	696 	683   	174.276
82 	670   	1657.18	82 	36329.1   	1348.03	1341.32	670   	1830.54	1647.22	82 	2412	1641.5	892 	670   	166.667
83 	671   	1923.48	83 	39588.8   	1347.77	1339.71	671   	2739.41	1642.39	83 	2414	1638.5	706 	671   	188.961
84 	675   	1775.03	84 	24345.3   	1347.4 	1339.71	675   	1950.93	1648.75	84 	2415	1645.5	762 	675   	187.755
