"C:\Users\WhizKid2004\PycharmProjects\4P82 A2\venv\Scripts\python.exe" "C:\Users\WhizKid2004\PycharmProjects\4P82 A2\islandExperiment\seededRuns.py" 
Unseeded Runs:
Run 1/10
   	      	                        fitness                        	                          size                         
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max    	med    	min    	nevals	std    	avg    	gen	max 	med	min	nevals	std    
48 	680   	5080.46	48 	76343.3    	3514.42	3317.03	680   	5642.05    	434.5  	48 	1026	433.5	62 	680   	148.051
49 	675   	4626.69	49 	40339.9    	3508.35	3317.03	675   	3585.89    	431.784	49 	1024	434.5	57 	675   	136.384
50 	675   	4951.86	50 	41448      	3506.07	3317.03	675   	4335.89    	433.886	50 	907 	434  	54 	675   	146.113
51 	669   	4568.92	51 	38053.3    	3505.02	3175.14	669   	3313.93    	441.943	51 	932 	439  	55 	669   	149.321
52 	681   	4536.75	52 	45010.1    	3504.72	3175.14	681   	3701       	450.696	52 	991 	445  	71 	681   	165.089
53 	682   	4803.75	53 	38496.8    	3500.13	3068.9 	682   	4156.56    	467.633	53 	1050	463.5	83 	682   	179.674
54 	674   	4506.22	54 	36510      	3490   	3068.9 	674   	3357.42    	493.289	54 	1142	484.5	50 	674   	205.283
55 	676   	4740.83	55 	69533.8    	3484.24	3068.9 	676   	4644.46    	533.561	55 	1142	525  	13 	676   	208.472
56 	682   	4441.91	56 	51682      	3481.55	3022.08	682   	3803.01    	549.773	56 	1102	543  	24 	682   	214.84 
57 	682   	4708.37	57 	50222.4    	3374.66	3014.08	682   	4458.39    	566.86 	57 	1126	565.5	87 	682   	212.449
58 	672   	4325.93	58 	44537.4    	3316.85	3014.08	672   	3485.45    	565.499	58 	1150	557.5	92 	672   	224.12 
59 	676   	4458.51	59 	31112.2    	3254.84	2978.5 	676   	3614.72    	539.167	59 	1157	528  	35 	676   	220.261
60 	663   	4412.95	60 	31628.8    	3204.03	2978.27	663   	3390.96    	500.284	60 	1114	507  	56 	663   	209.895
61 	685   	4793.71	61 	80582.8    	3180.46	2978.27	685   	5159.23    	451.92 	61 	1097	440  	53 	685   	202.801
62 	672   	4593.47	62 	45560.7    	3175.07	2978.27	672   	4089.89    	417.353	62 	1050	397  	89 	672   	181.247
63 	674   	4795.68	63 	38579      	3171.94	2977.91	674   	4575.3     	393.447	63 	1109	362.5	55 	674   	169.913
64 	687   	4846.35	64 	57133.1    	3076.01	2975.81	687   	4522.18    	389.363	64 	1109	371.5	10 	687   	162.007
65 	682   	4655.75	65 	36336      	3069.12	2969.07	682   	4040.19    	383.68 	65 	1119	370  	69 	682   	149.918
66 	681   	4658   	66 	38476.5    	3068.9 	2969.07	681   	4156.62    	379.099	66 	961 	373  	88 	681   	132.825
67 	687   	4340.12	67 	34378.8    	3058.28	2936.87	687   	3594.25    	394.957	67 	864 	404  	61 	687   	132.493
68 	683   	4452.58	68 	38075.3    	3028.95	2936.87	683   	3927.88    	413.224	68 	863 	425.5	45 	683   	131.492
69 	680   	4581.01	69 	47473.5    	3021.85	2931.68	680   	4312.19    	411.274	69 	849 	433  	50 	680   	137.103
70 	684   	4736.63	70 	62188.9    	3014.73	2931.68	684   	4968.94    	415.43 	70 	821 	442.5	62 	684   	146.196
71 	678   	4613.47	71 	50213.6    	3008.53	2931.68	678   	4746.67    	422.876	71 	754 	451.5	31 	678   	150.071
